Date,Open,High,Low,Close,Volume,Adj Close
2006-10-02,75.1,75.87,74.3,74.86,25451400,72.38
2006-10-03,74.45,74.95,73.19,74.08,28239600,71.63
2006-10-04,74.1,75.46,73.16,75.38,29610100,72.89
2006-10-05,74.53,76.16,74.13,74.83,24424400,72.35
2006-10-06,74.42,75.04,73.81,74.22,16677100,71.76
2006-10-09,73.8,75.08,73.53,74.63,15650800,72.16
2006-10-10,74.54,74.58,73.08,73.81,18985300,71.37
2006-10-11,73.42,73.98,72.6,73.23,20423400,70.81
2006-10-12,73.61,75.39,73.6,75.26,21173400,72.77
2006-10-13,75.63,76.88,74.74,75.02,24435600,72.54
2006-10-16,75.19,75.88,74.79,75.4,18167600,72.9
2006-10-17,75.04,75.27,74.04,74.29,17175900,71.83
2006-10-18,74.75,75.37,73.91,74.53,40496700,72.06
2006-10-19,79.26,79.95,78.16,78.99,54034900,76.38
2006-10-20,78.97,79.99,78.67,79.95,22836200,77.3
2006-10-23,79.99,81.9,79.75,81.46,29732400,78.76
2006-10-24,81.21,81.68,80.2,81.05,16543300,78.37
2006-10-25,81.35,82.0,81.01,81.68,17329100,78.98
2006-10-26,81.9,82.6,81.13,82.19,15455600,79.47
2006-10-27,81.75,82.45,80.01,80.41,21248800,77.75
2006-10-30,79.99,80.9,79.5,80.42,17854200,77.76
2006-10-31,81.45,81.68,80.23,81.08,17909800,78.4
2006-11-01,81.1,81.38,78.36,79.16,21828300,76.54
2006-11-02,78.92,79.32,78.5,78.98,16624400,76.37
2006-11-03,79.36,79.53,77.79,78.29,15424600,75.7
2006-11-06,78.95,80.06,78.43,79.71,15520600,77.07
2006-11-07,80.45,81.0,80.13,80.51,18783300,77.85
2006-11-08,80.02,82.69,79.89,82.45,24675600,79.72
2006-11-09,82.9,84.69,82.12,83.34,32966200,80.58
2006-11-10,83.55,83.6,82.5,83.12,13352300,80.37
2006-11-13,83.22,84.45,82.64,84.35,16095500,81.56
2006-11-14,84.8,85.0,83.9,85.0,21034100,82.19
2006-11-15,85.05,85.9,84.0,84.05,23404400,81.27
2006-11-16,84.87,86.3,84.62,85.61,24783600,82.78
2006-11-17,85.14,85.94,85.0,85.85,16658000,83.01
2006-11-20,85.4,87.0,85.2,86.47,20385500,83.61
2006-11-21,87.42,88.6,87.11,88.6,22238100,85.67
2006-11-22,88.99,90.75,87.85,90.31,23997900,87.32
2006-11-24,89.53,93.08,89.5,91.63,18524200,88.6
2006-11-27,92.51,93.16,89.5,89.54,38387000,86.58
2006-11-28,90.36,91.97,89.91,91.81,37006200,88.77
2006-11-29,93.0,93.15,90.25,91.8,41324400,88.76
2006-11-30,92.21,92.68,91.06,91.66,31088800,88.63
2006-12-01,91.8,92.33,90.1,91.32,28395700,88.3
2006-12-04,91.88,92.05,90.5,91.12,25340600,88.1
2006-12-05,91.65,92.33,90.87,91.27,23672800,88.25
2006-12-06,90.64,91.39,89.67,89.83,22792300,86.86
2006-12-07,90.03,90.5,86.9,87.04,35886700,84.16
2006-12-08,87.23,89.39,87.0,88.26,28009900,85.34
2006-12-11,88.9,89.3,88.05,88.75,17849300,85.81
2006-12-12,88.61,88.84,85.53,86.14,36665000,83.29
2006-12-13,87.95,89.07,87.15,89.05,30609000,86.1
2006-12-14,89.05,90.0,88.26,88.55,29726100,85.62
2006-12-15,89.02,89.22,87.33,87.72,26426400,84.82
2006-12-18,87.63,88.0,84.59,85.47,25770600,82.64
2006-12-19,84.73,86.68,83.62,86.31,32550200,83.45
2006-12-20,86.47,86.67,84.74,84.76,20274700,81.96
2006-12-21,84.7,85.48,82.2,82.9,32271400,80.16
2006-12-22,83.46,84.04,81.6,82.2,21903700,79.48
2006-12-26,82.15,82.57,80.89,81.51,17524600,78.81
2006-12-27,78.15,82.0,76.77,81.52,69134100,78.82
2006-12-28,80.22,81.25,79.65,80.87,39995600,78.19
2006-12-29,83.95,85.4,83.36,84.84,38443900,82.03
2007-01-03,86.29,86.58,81.9,83.8,44225700,81.03
2007-01-04,84.05,85.95,83.82,85.66,30259300,82.83
2007-01-05,85.77,86.2,84.4,85.05,29812200,82.24
2007-01-08,85.96,86.53,85.28,85.47,28468100,82.64
2007-01-09,86.45,92.98,85.15,92.57,119617800,89.51
2007-01-10,94.75,97.8,93.45,97.0,105460000,93.79
2007-01-11,95.94,96.78,95.1,95.8,51437600,92.63
2007-01-12,94.59,95.06,93.23,94.62,46881800,91.49
2007-01-16,95.68,97.25,95.45,97.1,44431300,93.89
2007-01-17,97.56,97.6,94.82,94.95,58795000,91.81
2007-01-18,92.1,92.11,89.05,89.07,84450200,86.12
2007-01-19,88.63,89.65,88.12,88.5,48731200,85.57
2007-01-22,89.14,89.16,85.65,86.79,51929500,83.92
2007-01-23,85.73,87.51,85.51,85.7,43122300,82.86
2007-01-24,86.68,87.15,86.08,86.7,33136200,83.83
2007-01-25,87.11,88.5,86.03,86.25,32356200,83.4
2007-01-26,87.11,87.37,84.99,85.38,35245500,82.55
2007-01-29,86.3,86.65,85.53,85.94,32202300,83.1
2007-01-30,86.43,86.49,85.25,85.55,20641800,82.72
2007-01-31,84.86,86.0,84.35,85.73,30573900,82.89
2007-02-01,86.23,86.27,84.74,84.74,23726500,81.94
2007-02-02,84.12,85.25,83.7,84.75,22197500,81.95
2007-02-05,84.3,85.23,83.94,83.94,20673300,81.16
2007-02-06,84.45,84.47,82.86,84.15,30871200,81.37
2007-02-07,84.48,86.38,83.55,86.15,38100900,83.3
2007-02-08,85.43,86.51,85.41,86.18,24251100,83.33
2007-02-09,85.88,86.2,83.21,83.27,30733600,80.51
2007-02-12,84.43,85.18,83.63,84.88,25859700,82.07
2007-02-13,85.16,85.29,84.3,84.7,20749500,81.9
2007-02-14,84.63,85.64,84.57,85.3,18142200,82.48
2007-02-15,85.44,85.62,84.78,85.21,12987900,82.39
2007-02-16,85.25,85.41,84.66,84.83,14281000,82.02
2007-02-20,84.65,86.16,84.16,85.9,22060800,83.06
2007-02-21,85.98,89.49,85.96,89.2,41261200,86.25
2007-02-22,90.8,90.81,88.53,89.51,29936600,86.55
2007-02-23,89.16,90.34,88.85,89.07,18496200,86.12
2007-02-26,89.84,90.0,87.61,88.51,21994600,85.58
2007-02-27,86.3,87.08,83.41,83.93,40921900,81.15
2007-02-28,83.0,85.6,83.0,84.61,32838400,81.81
2007-03-01,84.03,88.31,83.75,87.06,50554600,84.18
2007-03-02,86.77,87.54,85.21,85.41,30714300,82.58
2007-03-05,85.89,88.65,85.76,86.32,29960700,83.46
2007-03-06,87.8,88.31,87.4,88.19,25828100,85.27
2007-03-07,88.05,88.97,87.45,87.72,22367300,84.82
2007-03-08,88.59,88.72,87.46,88.0,18250400,85.09
2007-03-09,88.8,88.85,87.4,87.97,16137000,85.06
2007-03-12,88.07,89.99,87.99,89.87,26050300,86.9
2007-03-13,89.41,90.6,88.4,88.4,30996100,85.47
2007-03-14,88.6,90.0,87.92,90.0,28449500,87.02
2007-03-15,89.96,90.36,89.31,89.57,19982100,86.61
2007-03-16,89.54,89.99,89.32,89.59,20418000,86.63
2007-03-19,90.24,91.55,89.59,91.13,25462900,88.11
2007-03-20,91.35,91.84,91.06,91.48,17461300,88.45
2007-03-21,91.99,94.0,91.65,93.87,24532000,90.76
2007-03-22,93.73,94.36,93.0,93.96,20053300,90.85
2007-03-23,93.35,94.07,93.3,93.52,16103000,90.43
2007-03-26,93.99,95.9,93.3,95.85,30892400,92.68
2007-03-27,95.71,96.83,95.0,95.46,33287600,92.3
2007-03-28,94.88,95.4,93.15,93.24,33654900,90.15
2007-03-29,94.19,94.19,92.23,93.75,25918700,90.65
2007-03-30,94.28,94.68,92.75,92.91,21448500,89.84
2007-04-02,94.14,94.25,93.02,93.65,17928300,90.55
2007-04-03,94.14,95.23,93.76,94.5,20854800,91.37
2007-04-04,94.94,95.14,94.13,94.27,17028000,91.15
2007-04-05,94.12,94.68,93.52,94.68,12697000,91.55
2007-04-09,95.21,95.3,93.04,93.65,14762200,90.55
2007-04-10,93.67,94.26,93.41,94.25,12588100,91.13
2007-04-11,93.9,93.95,92.33,92.59,19607800,89.53
2007-04-12,92.04,92.31,90.72,92.19,23452700,89.14
2007-04-13,90.9,91.4,90.06,90.24,25712200,87.25
2007-04-16,90.57,91.5,90.25,91.43,21751200,88.4
2007-04-17,92.0,92.3,89.7,90.35,26854300,87.36
2007-04-18,90.16,90.85,89.6,90.4,16573000,87.41
2007-04-19,90.19,91.25,89.83,90.27,15211200,87.28
2007-04-20,90.89,91.18,90.55,90.97,18670700,87.96
2007-04-23,91.59,93.8,91.42,93.51,27867500,90.42
2007-04-24,93.96,96.39,91.3,93.24,37687600,90.15
2007-04-25,94.23,95.4,93.8,95.35,42398000,92.19
2007-04-26,101.58,102.5,98.3,98.84,62063500,95.57
2007-04-27,98.18,99.95,97.69,99.92,24978700,96.61
2007-04-30,100.09,101.0,99.67,99.8,22018200,96.5
2007-05-01,99.59,100.35,98.55,99.47,19018700,96.18
2007-05-02,99.65,100.54,99.47,100.39,18040900,97.07
2007-05-03,100.73,101.45,100.01,100.4,20574200,97.08
2007-05-04,100.8,101.6,100.5,100.81,13642400,97.47
2007-05-07,101.08,104.35,101.01,103.92,30769900,100.48
2007-05-08,103.47,105.15,103.42,105.06,27999900,101.58
2007-05-09,104.91,106.96,104.89,106.88,25634200,103.34
2007-05-10,106.63,108.84,105.92,107.34,42759200,103.79
2007-05-11,107.74,109.13,106.78,108.74,23346300,105.14
2007-05-14,109.62,110.0,108.25,109.36,23283800,105.74
2007-05-15,109.57,110.2,106.48,107.52,34089800,103.96
2007-05-16,108.53,108.83,103.42,107.34,40241700,103.79
2007-05-17,107.15,109.87,107.15,109.44,26260400,105.82
2007-05-18,110.23,110.64,109.77,110.02,22190900,106.38
2007-05-21,110.31,112.45,110.05,111.98,22853300,108.27
2007-05-22,112.49,113.75,112.01,113.54,20443200,109.78
2007-05-23,114.02,115.0,112.59,112.89,32549100,109.15
2007-05-24,112.81,114.46,110.37,110.69,31691500,107.03
2007-05-25,112.0,113.78,111.5,113.62,22605700,109.86
2007-05-29,114.45,114.86,112.69,114.35,23060500,110.57
2007-05-30,114.3,118.88,113.53,118.77,52801600,114.84
2007-05-31,120.07,122.17,119.54,121.19,46323800,117.18
2007-06-01,121.1,121.19,118.29,118.4,31616500,114.48
2007-06-04,118.63,121.73,117.9,121.33,31666900,117.31
2007-06-05,121.41,122.69,120.5,122.67,32885200,118.61
2007-06-06,122.3,124.05,121.95,123.64,39722900,119.55
2007-06-07,124.99,127.61,123.19,124.07,68395700,119.96
2007-06-08,125.82,125.83,122.29,124.49,44345800,120.37
2007-06-11,126.0,126.15,119.54,120.19,66937800,116.21
2007-06-12,119.35,121.71,118.31,120.38,50948800,116.4
2007-06-13,121.15,121.19,115.4,117.5,61476900,113.61
2007-06-14,117.2,119.45,116.42,118.75,34759500,114.82
2007-06-15,120.62,120.67,119.86,120.5,28972100,116.51
2007-06-18,123.28,125.18,122.54,125.09,32521600,120.95
2007-06-19,124.69,125.01,122.91,123.66,33679500,119.57
2007-06-20,123.87,124.66,121.5,121.55,32054000,117.53
2007-06-21,121.7,124.29,120.72,123.9,30965900,119.8
2007-06-22,123.85,124.45,122.38,123.0,22567000,118.93
2007-06-25,124.19,125.09,121.06,122.34,34478700,118.29
2007-06-26,123.98,124.0,118.72,119.65,48035900,115.69
2007-06-27,120.61,122.04,119.26,121.89,34810600,117.86
2007-06-28,122.36,122.49,120.0,120.56,29933700,116.57
2007-06-29,121.97,124.0,121.09,122.04,40637200,118.0
2007-07-02,121.05,122.09,119.3,121.26,35530800,117.25
2007-07-03,122.0,127.4,121.5,127.17,41517200,122.96
2007-07-05,128.8,132.97,128.69,132.75,51894700,128.36
2007-07-06,133.13,133.34,130.4,132.3,31239100,127.92
2007-07-09,132.38,132.9,129.18,130.33,35565000,126.02
2007-07-10,128.88,134.5,128.81,132.35,44821700,127.97
2007-07-11,132.07,133.7,131.31,132.39,29349000,128.01
2007-07-12,133.85,134.24,132.39,134.07,25164600,129.63
2007-07-13,135.03,137.85,134.52,137.73,32414500,133.17
2007-07-16,138.39,139.98,137.5,138.1,33432600,133.53
2007-07-17,138.3,139.6,137.5,138.91,25355700,134.31
2007-07-18,138.19,138.44,136.04,138.12,27030600,133.55
2007-07-19,140.3,140.81,139.65,140.0,26174700,135.37
2007-07-20,141.65,144.18,140.0,143.75,41706200,138.99
2007-07-23,143.31,145.22,140.93,143.7,37017500,138.94
2007-07-24,138.88,141.0,134.15,134.89,64117600,130.43
2007-07-25,137.35,138.36,135.0,137.26,53435100,132.72
2007-07-26,145.91,148.5,136.96,146.0,78093900,141.17
2007-07-27,146.19,148.92,143.78,143.85,41467800,139.09
2007-07-30,144.33,145.45,139.57,141.43,39535300,136.75
2007-07-31,142.97,143.48,131.52,131.76,62942600,127.4
2007-08-01,133.64,135.38,127.77,135.0,62505600,130.53
2007-08-02,136.65,136.96,134.15,136.49,30451600,131.97
2007-08-03,135.26,135.95,131.5,131.85,24256700,127.49
2007-08-06,132.9,135.27,128.3,135.25,33041800,130.77
2007-08-07,134.94,137.24,132.63,135.03,33926300,130.56
2007-08-08,136.76,136.86,132.0,134.01,28860600,129.58
2007-08-09,131.11,133.0,125.09,126.39,40192700,122.21
2007-08-10,123.12,127.75,120.3,125.0,50383900,120.86
2007-08-13,128.32,129.35,126.5,127.79,26889700,123.56
2007-08-14,128.29,128.3,123.71,124.03,26393100,119.93
2007-08-15,122.74,124.86,119.65,119.9,35459000,115.93
2007-08-16,117.01,118.5,111.62,117.05,66667500,113.18
2007-08-17,122.01,123.5,119.82,122.06,42680800,118.02
2007-08-20,123.96,124.5,120.5,122.22,28689900,118.18
2007-08-21,122.21,128.96,121.0,127.57,46537400,123.35
2007-08-22,131.22,132.75,130.33,132.51,37920200,128.12
2007-08-23,133.09,133.34,129.76,131.07,30958500,126.73
2007-08-24,130.53,135.37,129.81,135.3,32565500,130.82
2007-08-27,133.39,134.66,132.1,132.25,25265700,127.87
2007-08-28,130.99,132.41,126.63,126.82,42120200,122.62
2007-08-29,129.88,134.18,129.54,134.08,41673600,129.64
2007-08-30,132.67,138.25,132.3,136.25,51270800,131.74
2007-08-31,139.49,139.65,137.41,138.48,31317400,133.9
2007-09-04,139.94,145.73,139.84,144.16,47030100,139.39
2007-09-05,144.97,145.84,136.1,136.76,83150800,132.23
2007-09-06,135.56,137.57,132.71,135.01,67902200,130.54
2007-09-07,132.01,132.3,130.0,131.77,51092000,127.41
2007-09-10,136.99,138.04,133.95,136.71,53137100,132.19
2007-09-11,137.9,138.3,133.75,135.49,34710200,131.01
2007-09-12,135.99,139.4,135.75,136.85,36527500,132.32
2007-09-13,138.83,139.0,136.65,137.2,23434400,132.66
2007-09-14,136.57,138.98,136.2,138.81,21690000,134.22
2007-09-17,138.99,140.59,137.6,138.41,28334700,133.83
2007-09-18,139.06,142.85,137.83,140.92,38003200,136.26
2007-09-19,143.02,143.16,139.4,140.77,36674300,136.11
2007-09-20,140.15,141.79,139.32,140.31,24708600,135.67
2007-09-21,141.14,144.65,140.31,144.15,40674300,139.38
2007-09-24,146.73,149.85,146.65,148.28,37577200,143.37
2007-09-25,146.84,153.22,146.82,153.18,42591100,148.11
2007-09-26,154.47,155.0,151.25,152.77,34831000,147.71
2007-09-27,153.77,154.52,152.32,154.5,23507100,149.39
2007-09-28,153.44,154.6,152.75,153.47,21967900,148.39
2007-10-01,154.63,157.41,152.93,156.34,29895300,151.17
2007-10-02,156.55,158.59,155.89,158.45,28288200,153.21
2007-10-03,157.78,159.18,157.01,157.92,24732800,152.69
2007-10-04,158.0,158.08,153.5,156.24,23462800,151.07
2007-10-05,158.37,161.58,157.7,161.45,33695400,156.11
2007-10-08,163.49,167.91,162.97,167.91,29854600,162.35
2007-10-09,170.2,171.11,166.68,167.86,39438800,162.31
2007-10-10,167.55,167.88,165.6,166.79,23842500,161.27
2007-10-11,169.49,171.88,153.21,162.23,58714000,156.86
2007-10-12,163.01,167.28,161.8,167.25,35292000,161.72
2007-10-15,167.98,169.57,163.5,166.98,38497500,161.45
2007-10-16,165.54,170.18,165.15,169.58,38136800,163.97
2007-10-17,172.69,173.04,169.18,172.75,40271900,167.03
2007-10-18,171.5,174.19,171.05,173.5,29417000,167.76
2007-10-19,174.24,174.63,170.0,170.42,46135000,164.78
2007-10-22,170.35,174.9,169.96,174.36,58910700,168.59
2007-10-23,188.56,188.6,182.76,186.16,64113000,180.0
2007-10-24,185.81,187.21,179.24,185.93,46017200,179.78
2007-10-25,184.87,185.9,181.66,182.78,34771500,176.73
2007-10-26,185.29,185.37,182.88,184.7,25219800,178.59
2007-10-29,185.45,186.59,184.7,185.09,19305500,178.96
2007-10-30,186.18,189.37,184.73,187.0,33550500,180.81
2007-10-31,187.63,190.12,184.95,189.95,29761100,183.66
2007-11-01,188.6,190.1,180.0,187.44,28751300,181.24
2007-11-02,189.21,189.44,183.49,187.87,35789800,181.65
2007-11-05,185.29,188.96,184.24,186.18,28720600,180.02
2007-11-06,187.05,192.0,185.27,191.79,34097400,185.44
2007-11-07,190.61,192.68,186.13,186.3,35473400,180.13
2007-11-08,186.67,186.9,167.77,175.47,67458500,169.66
2007-11-09,171.15,175.12,165.21,165.37,54458700,159.9
2007-11-12,165.28,167.7,150.63,153.76,63057700,148.67
2007-11-13,160.85,170.98,153.76,169.96,62034100,164.34
2007-11-14,177.16,177.57,163.74,166.11,51695400,160.61
2007-11-15,166.39,169.59,160.3,164.3,53095600,158.86
2007-11-16,165.3,167.02,159.33,166.39,49391300,160.88
2007-11-19,166.1,168.2,162.1,163.95,41196800,158.52
2007-11-20,165.67,171.79,163.53,168.85,55130100,163.26
2007-11-21,165.84,172.35,164.67,168.46,43493200,162.89
2007-11-23,172.0,172.05,169.75,171.54,16634200,165.86
2007-11-26,173.59,177.27,172.35,172.54,46634100,166.83
2007-11-27,175.22,175.79,170.01,174.81,47036800,169.03
2007-11-28,176.82,180.6,175.35,180.22,41104000,174.26
2007-11-29,179.43,185.17,179.15,184.29,37533100,178.19
2007-11-30,187.34,187.7,179.7,182.22,42421500,176.19
2007-12-03,181.86,184.14,177.7,178.86,34338200,172.94
2007-12-04,177.15,180.9,176.99,179.81,27635700,173.86
2007-12-05,182.89,186.0,182.41,185.5,31871500,179.36
2007-12-06,186.19,190.1,186.12,189.95,32136100,183.66
2007-12-07,190.54,194.99,188.04,194.3,38073800,187.87
2007-12-10,193.59,195.66,192.69,194.21,25799200,187.78
2007-12-11,194.75,196.83,187.39,188.54,39675900,182.3
2007-12-12,193.44,194.48,185.76,190.86,43773600,184.54
2007-12-13,190.19,192.12,187.82,191.83,30879200,185.48
2007-12-14,190.37,193.2,189.54,190.39,24082600,184.09
2007-12-17,190.72,192.65,182.98,184.4,36596200,178.3
2007-12-18,186.52,187.33,178.6,182.98,43664400,176.92
2007-12-19,182.98,184.64,180.9,183.12,29552800,177.06
2007-12-20,185.43,187.83,183.33,187.21,27644900,181.01
2007-12-21,190.12,193.91,189.89,193.91,35498600,187.49
2007-12-24,195.03,199.33,194.79,198.8,17150100,192.22
2007-12-26,199.01,200.96,196.82,198.95,25133300,192.37
2007-12-27,198.95,202.96,197.8,198.57,28411700,192.0
2007-12-28,200.59,201.56,196.88,199.83,24987400,193.22
2007-12-31,199.5,200.5,197.75,198.08,19261900,191.53
2008-01-02,199.27,200.26,192.55,194.84,38542100,188.39
2008-01-03,195.41,197.39,192.69,194.93,30073800,188.48
2008-01-04,191.45,193.0,178.89,180.05,51994000,174.09
2008-01-07,181.25,183.6,170.23,177.64,74006900,171.76
2008-01-08,180.14,182.46,170.8,171.25,54422000,165.58
2008-01-09,171.3,179.5,168.3,179.4,64781500,173.46
2008-01-10,177.58,181.0,175.41,178.02,52963400,172.13
2008-01-11,176.0,177.85,170.0,172.69,44010200,166.98
2008-01-14,177.52,179.42,175.17,178.78,39301800,172.86
2008-01-15,177.72,179.22,164.66,169.04,83688500,163.45
2008-01-16,165.23,169.01,156.7,159.64,79065900,154.36
2008-01-17,161.51,165.36,158.42,160.89,62780700,155.57
2008-01-18,161.71,165.75,159.61,161.36,61583700,156.02
2008-01-22,148.06,159.98,146.0,155.64,86955500,150.49
2008-01-23,136.19,140.0,126.14,139.07,120463200,134.47
2008-01-24,139.99,140.7,132.01,135.6,71638100,131.11
2008-01-25,138.99,139.09,129.61,130.01,55526400,125.71
2008-01-28,128.16,133.2,126.45,130.01,52673000,125.71
2008-01-29,131.15,132.79,129.05,131.54,39285100,127.19
2008-01-30,131.37,135.45,130.0,132.18,44394700,127.81
2008-01-31,129.45,136.65,129.4,135.36,48059800,130.88
2008-02-01,136.24,136.59,132.18,133.75,36098000,129.32
2008-02-04,134.21,135.9,131.42,131.65,32115500,127.29
